BPOS,BVEL,DEPT,DateTime,GR,HKLD,ROP5,RPM,Run,SPPA,SWOB,Stick_RT,TFLO,TQA,Well,azi,dispEw,dispNs,dls,incl,tvd
32.87,0.01,640.0,2007-10-14 08:45:20,90.36,105.55,58.08,134.0,run_2,134.39,0.4,6.0,4475.26,0.13,F-4,173.74,-17.5374348768,-38.9296159176,0.0339796587926509,9.24,637.1002752
32.8,0.01,640.0,2007-10-14 08:45:30,90.36,105.5,58.08,134.0,run_2,134.24,0.45,6.0,4475.26,0.13,F-4,173.74,-17.5374348768,-38.9296159176,0.0339796587926509,9.24,637.1002752
32.72,0.01,640.0,2007-10-14 08:45:40,98.57,105.57,58.08,134.0,run_2,134.28,0.38,6.0,4475.26,0.14,F-4,173.74,-17.5374348768,-38.9296159176,0.0339796587926509,9.24,637.1002752
32.62,0.01,640.0,2007-10-14 08:45:50,98.57,105.22,58.08,134.0,run_2,134.41,0.73,6.0,4475.26,0.14,F-4,173.74,-17.5374348768,-38.9296159176,0.0339796587926509,9.24,637.1002752
32.03,0.02,681.0,2007-10-14 10:37:30,84.88,106.07,66.32,190.0,run_2,138.14,0.25,15.0,4475.26,0.57,F-4,172.04,-16.7147193264,-45.5140338384,0.00949146981627297,9.51,677.29608
31.86,0.02,681.0,2007-10-14 10:37:40,84.88,106.42,66.34,160.0,run_2,137.86,-0.1,15.0,4475.26,0.59,F-4,172.04,-16.7147193264,-45.5140338384,0.00949146981627297,9.51,677.29608
31.63,0.02,681.0,2007-10-14 10:37:50,84.88,104.49,66.33,190.0,run_2,138.92,1.82,15.0,4475.26,0.47,F-4,172.04,-16.7147193264,-45.5140338384,0.00949146981627297,9.51,677.29608
31.45,0.02,681.0,2007-10-14 10:38:00,84.88,104.35,66.32,190.0,run_2,139.55,1.97,15.0,4475.26,0.45,F-4,172.04,-16.7147193264,-45.5140338384,0.00949146981627297,9.51,677.29608
31.28,0.02,681.0,2007-10-14 10:38:10,84.88,103.22,66.28,189.0,run_2,141.09,3.1,15.0,4475.26,0.51,F-4,172.04,-16.7147193264,-45.5140338384,0.00949146981627297,9.51,677.29608
29.37,0.02,801.0,2007-10-14 14:36:10,104.05,102.09,67.58,174.0,run_2,148.87,5.33,21.0,4475.26,0.52,F-4,156.64,-9.7561578816,-69.13698755760001,0.051745406824147,14.72,794.9485752
29.11,0.02,801.0,2007-10-14 14:36:20,104.05,102.06,72.76,174.0,run_2,149.53,5.35,21.0,4475.26,0.68,F-4,156.64,-9.7561578816,-69.13698755760001,0.051745406824147,14.72,794.9485752
28.91,0.02,801.0,2007-10-14 14:36:30,115.0,101.45,73.79,174.0,run_2,149.84,5.97,21.0,4475.26,0.64,F-4,156.64,-9.7561578816,-69.13698755760001,0.051745406824147,14.72,794.9485752
28.73,0.02,801.0,2007-10-14 14:36:40,115.0,100.8,74.67,174.0,run_2,150.89,6.62,21.0,4475.26,0.44,F-4,156.64,-9.7561578816,-69.13698755760001,0.051745406824147,14.72,794.9485752
28.48,0.02,801.0,2007-10-14 14:36:50,115.0,101.93,76.12,174.0,run_2,150.04,5.48,21.0,4475.26,0.72,F-4,156.64,-9.7561578816,-69.13698755760001,0.051745406824147,14.72,794.9485752
